uid,gid,player,pa,pc,py,ints,ra,sra,ry,trg,rec,recy,fuml,peny
43187,4268,MJ-2250,0,0,0,0,0,0,0,1,0,0,0,0
43188,4268,EE-0050,0,0,0,0,0,0,0,1,1,6,0,0
43189,4268,JF-1250,0,0,0,0,1,0,-2,0,0,0,0,0
43190,4268,AL-1100,9,8,62,0,0,0,0,0,0,0,0,0
43191,4268,PD-0800,0,0,0,0,0,0,0,2,1,5,0,0
43192,4268,TH-1850,0,0,0,0,0,0,0,2,2,8,0,0
43193,4268,DM-2775,0,0,0,0,0,0,0,2,2,8,0,0
43194,4268,DA-0850,0,0,0,0,0,0,0,1,1,19,0,0
43195,4268,JD-2550,0,0,0,0,0,0,0,2,2,22,0,0
43196,4269,DP-2037,6,4,24,0,0,0,0,0,0,0,0,0
43197,4269,JW-6000,0,0,0,0,0,0,0,3,2,16,0,0
43198,4269,EE-0250,0,0,0,0,4,2,12,1,1,1,0,0
43199,4269,CB-1130,0,0,0,0,0,0,0,2,1,7,0,0
43200,4269,EM-0200,7,5,34,0,0,0,0,0,0,0,0,0
43201,4269,LD-0650,0,0,0,0,0,0,0,1,1,15,0,0
43202,4269,VC-0300,0,0,0,0,0,0,0,2,2,6,0,0
43203,4269,WT-0600,0,0,0,0,0,0,0,1,1,4,0,0
43204,4269,SS-1250,0,0,0,0,0,0,0,1,1,9,0,0
43205,4269,SV-0200,0,0,0,0,2,1,11,0,0,0,0,0
43206,4269,OB-0075,0,0,0,0,0,0,0,2,0,0,0,0
43207,4270,CJ-1700,0,0,0,0,1,1,2,0,0,0,0,0
43208,4270,CP-0500,8,5,38,0,0,0,0,0,0,0,0,0
43209,4270,JG-3700,0,0,0,0,0,0,0,1,1,9,0,0
43210,4270,DJ-1325,0,0,0,0,4,3,7,1,0,0,0,0
43211,4270,LF-0200,0,0,0,0,0,0,0,3,3,18,0,0
43212,4270,LB-0500,0,0,0,0,1,1,8,0,0,0,0,0
43213,4270,MF-0950,0,0,0,0,0,0,0,3,1,11,0,0
43214,4270,JG-0650,1,1,3,0,1,0,3,0,0,0,0,0
43215,4270,DA-0900,0,0,0,0,0,0,0,1,1,3,0,0
43216,4271,MJ-2275,0,0,0,0,1,1,4,0,0,0,0,0
43217,4271,KC-2350,6,1,6,1,0,0,0,0,0,0,0,0
43218,4271,JR-1150,0,0,0,0,0,0,0,1,0,0,0,0
43219,4271,JC-5680,0,0,0,0,0,0,0,4,1,6,0,0
43220,4271,BR-1100,4,3,15,0,0,0,0,0,0,0,0,0
43221,4271,ER-0462,0,0,0,0,0,0,0,2,2,9,0,0
43222,4271,JJ-0725,0,0,0,0,0,0,0,2,1,6,0,0
43223,4271,CT-1220,0,0,0,0,1,1,1,0,0,0,0,0
43224,4271,DW-3600,0,0,0,0,3,3,26,0,0,0,0,0
