pid,bc,dir,yds,succ,kne
698457,JR-2075,LG,8,1,0
698458,LM-1850,LG,-2,0,0
698460,JR-2075,RG,1,0,0
698464,DC-0725,RE,5,0,0
698480,SW-0350,MD,0,0,0
698481,SW-0350,RE,6,1,0
698486,MG-1150,RG,-2,0,0
698487,DW-4300,MD,6,0,0
698489,MG-1150,MD,17,1,0
698491,MG-1150,RG,1,1,0
698494,SW-0350,MD,11,1,0
698495,SW-0350,LE,1,0,0
698504,MG-1150,LG,5,1,0
698508,DW-4300,MD,3,1,0
698509,MG-1150,MD,5,1,0
698511,MG-1150,MD,4,1,0
698512,DW-4300,MD,12,1,0
698514,DW-4300,MD,9,1,0
698515,MG-1150,MD,6,1,0
698519,SW-0350,MD,10,0,0
698523,DW-4300,MD,0,0,0
698532,CW-1450,RE,8,1,0
698533,AS-1600,MD,1,0,0
698534,SW-0350,MD,2,1,0
698535,CW-1450,MD,-5,0,0
698539,MG-1150,MD,3,0,0
698555,PR-0300,NL,-1,0,1
698557,DW-4300,MD,21,1,0
698559,DW-4300,MD,3,1,0
698560,MG-1150,MD,0,0,0
698563,JM-0200,LE,-1,0,0
698567,MG-1150,MD,9,1,0
698568,MG-1150,MD,3,1,0
698569,PR-0300,LE,10,1,0
698570,DW-4300,MD,6,1,0
698573,DW-4300,MD,1,0,0
698579,CW-1450,LE,-4,0,0
698587,DW-4300,MD,5,1,0
698592,MG-1150,MD,2,0,0
698593,DW-4300,MD,2,0,0
698599,MG-1150,MD,2,0,0
698600,DW-4300,MD,6,1,0
698614,DW-4300,MD,4,1,0
698615,DW-4300,MD,3,1,0
698620,SW-0350,MD,14,1,0
698622,AS-1600,RE,7,1,0
698631,MG-1150,MD,2,0,0
698638,SW-0350,MD,5,1,0
698644,DW-4300,MD,4,0,0
698645,DW-4300,MD,4,0,0
698649,SW-0350,RE,13,1,0
698650,AS-1600,MD,5,1,0
698651,SW-0350,MD,2,0,0
698656,SW-0350,RE,6,1,0
698657,AS-1600,MD,2,1,0
698659,DF-1875,RT,1,0,0
698660,DF-1875,RG,0,0,0
698663,DM-0450,LT,2,0,0
698666,DM-0450,LG,12,1,0
698667,DM-0450,LE,-6,0,0
698678,DM-0450,LG,0,0,0
698683,TC-2050,RG,3,0,0
698684,MR-2500,LT,3,0,0
698686,CS-1950,RT,5,1,0
698692,DF-1875,LE,3,1,0
698703,DM-0450,RG,7,1,0
698704,CS-1950,RG,2,0,0
698706,DM-0450,RT,2,0,0
698710,TC-2050,LE,0,0,0
698713,DF-1875,RE,-3,0,0
698714,TC-2050,LE,4,0,0
698717,DM-0450,RG,3,0,0
698722,TC-2050,RG,4,0,0
698724,DF-1875,RG,3,0,0
698727,TC-2050,RG,1,0,0
698742,MR-2500,NL,-1,0,1
698745,DM-0450,LT,3,0,0
698751,DF-1875,RG,6,1,0
698754,DF-1875,RT,1,0,0
698758,DM-0450,RG,2,0,0
698761,RS-0975,LE,9,1,0
698762,DM-0450,LT,5,1,0
698763,DM-0450,LE,17,1,0
698764,DM-0450,LT,-1,0,0
698774,MR-2500,RG,8,1,0
698775,TC-2050,LE,0,0,0
698780,DM-0450,RE,0,0,0
698781,DM-0450,LE,0,0,0
698785,DF-1875,RE,10,1,0
698787,TC-2050,RT,7,1,0
698790,CS-1950,RT,0,0,0
698791,JW-5650,RE,4,0,0
698794,TC-2050,RE,3,0,0
698796,DF-1875,RE,-3,0,0
698801,DF-1875,LG,7,1,0
698802,DF-1875,LE,-5,0,0
698806,DM-0450,LT,9,1,0
698807,DM-0450,RG,4,1,0
698808,AH-3862,RE,7,1,0
698809,DM-0450,RT,0,0,0
698811,CS-1950,LE,2,0,0
698812,DM-0450,RT,3,0,0
698813,JW-5650,RT,3,0,0
698820,JW-5650,NL,-2,0,1
698821,JW-5650,NL,-2,0,1
698830,AF-0900,RE,8,1,0
698834,RW-3850,RE,3,0,0
698837,CM-2280,RT,1,0,0
698841,CM-2280,RT,12,1,0
698842,TR-0112,MD,1,0,0
698848,AF-0900,LG,2,0,0
698850,AF-0900,LG,3,0,0
698853,AF-0900,MD,0,0,0
698854,CP-2550,MD,-2,0,0
698855,RW-3850,LE,9,1,0
698856,CM-2280,MD,2,0,0
698862,TR-0112,MD,6,1,0
698863,TR-0112,RG,-1,0,0
698865,AF-0900,RT,6,1,0
698866,AF-0900,LT,9,1,0
698868,DW-3125,RT,4,0,0
698875,CM-2280,MD,3,0,0
698880,RT-0150,RE,11,1,0
698881,DW-3125,MD,5,1,0
698885,TR-0112,RT,8,1,0
698891,AF-0900,RE,0,0,0
698895,CM-2280,LG,4,1,0
698897,CM-2280,MD,11,1,0
698907,AF-0900,MD,3,0,0
698912,TR-0112,LT,2,1,0
698913,TR-0112,MD,2,1,0
698915,TR-0112,LT,1,0,0
698919,RT-0150,RT,1,0,0
698923,TR-0112,RE,5,1,0
698924,CM-2280,RT,4,1,0
698925,TR-0112,MD,0,0,0
698927,AF-0900,RE,2,0,0
698928,AF-0900,RG,0,0,0
698929,AF-0900,LG,3,0,0
698932,TR-0112,MD,2,0,0
698934,TR-0112,MD,1,0,0
698935,CM-2280,LE,3,0,0
698937,CM-2280,LT,6,1,0
698939,RW-3850,MD,0,0,0
698941,AF-0900,MD,0,0,0
698943,RT-0150,RE,5,1,0
698947,RT-0150,LT,-2,0,0
698951,TR-0112,MD,5,1,0
698953,CM-2280,RT,8,1,0
698954,CM-2280,MD,-4,0,0
698958,AF-0900,RG,2,0,0
698963,RT-0150,MD,2,1,0
698967,CM-2280,MD,8,1,0
698968,CM-2280,LE,1,0,0
698969,CM-2280,MD,7,1,0
698974,RW-3850,LT,4,1,0
698978,CM-2280,LG,0,0,0
698986,FG-0200,RE,3,1,0
698987,AL-1100,LG,1,1,0
698988,FG-0200,RG,4,1,0
698989,FG-0200,MD,2,0,0
698996,AA-0025,MD,4,1,0
698998,AA-0025,RT,4,1,0
699001,AA-0025,RE,13,1,0
699003,TR-0370,MD,21,1,0
699007,FG-0200,MD,2,0,0
699010,AA-0025,LE,1,0,0
699014,FG-0200,MD,2,0,0
699018,TR-0370,LE,-1,0,0
699020,MS-4100,LE,6,1,0
699021,TR-0370,MD,5,1,0
699029,GT-0100,RE,2,0,0
699031,DW-1550,MD,0,0,0
699032,DW-1550,MD,1,1,0
699036,FG-0200,LG,4,1,0
699044,AA-0025,MD,7,1,0
699045,AA-0025,RE,9,1,0
699046,AA-0025,RE,10,1,0
699049,AA-0025,LG,6,1,0
699057,JF-1250,RE,-2,0,0
699065,MS-4100,NL,-1,0,1
699072,FG-0200,MD,6,1,0
699073,FG-0200,MD,3,1,0
699074,RT-1950,MD,4,1,0
699085,TR-0370,MD,-4,0,0
699086,TR-0370,MD,5,0,0
699093,AA-0025,LT,7,1,0
699095,AA-0025,LE,-1,0,0
699102,FG-0200,MD,4,1,0
699104,AL-1100,RE,11,1,0
699106,FG-0200,MD,1,0,0
699113,AA-0025,MD,1,0,0
699118,FG-0200,RT,8,1,0
699123,FG-0200,RT,4,1,0
699124,AL-1100,RE,9,1,0
699128,AA-0025,MD,2,0,0
699131,TR-0370,MD,12,1,0
699132,TR-0370,RE,7,1,0
699140,FG-0200,RE,7,1,0
699143,FG-0200,MD,9,1,0
699156,EE-0250,RT,1,0,0
699158,EE-0250,RG,3,1,0
699160,EE-0250,RT,5,1,0
699161,EE-0250,LT,1,0,0
699164,EE-0250,MD,5,1,0
699166,EE-0250,MD,2,1,0
699168,EE-0250,RG,4,0,0
699172,RJ-0800,MD,2,0,0
699175,SV-0200,MD,3,0,0
699179,EE-0250,LT,2,0,0
699180,EE-0250,LG,3,0,0
699182,EE-0250,LG,2,0,0
699183,DP-2037,RE,1,0,0
699186,AM-2850,LE,6,1,0
699189,AM-2850,LG,2,1,0
699191,EE-0250,MD,-1,0,0
699196,RJ-0800,LT,1,0,0
699203,EE-0250,MD,4,1,0
699204,EE-0250,RE,0,0,0
699207,EE-0250,LT,2,1,0
699209,DP-2037,LE,11,1,0
699210,EE-0250,LE,-2,0,0
699215,RJ-0800,MD,17,1,0
699216,RJ-0800,RG,7,1,0
699219,SV-0200,MD,8,1,0
699231,RJ-0800,LE,1,0,0
699233,EE-0250,RT,2,0,0
699237,EE-0250,RE,8,1,0
699239,EE-0250,RG,8,1,0
699242,RJ-0800,MD,0,0,0
699244,RJ-0800,MD,-1,0,0
699252,RJ-0800,RG,4,1,0
699254,RJ-0800,MD,5,1,0
699255,RJ-0800,MD,1,0,0
699256,SV-0200,MD,6,1,0
699259,AM-2850,RE,9,1,0
699260,AM-2850,RE,1,1,0
699262,AM-2850,LT,0,0,0
699263,KS-1450,MD,3,1,0
699265,AM-2850,LG,13,1,0
699267,AM-2850,RT,4,0,0
699273,RJ-0800,LT,-2,0,0
699277,EE-0250,RG,2,0,0
699285,SV-0200,MD,10,1,0
699286,SV-0200,RG,2,0,0
699287,SV-0200,LG,9,1,0
699293,EE-0250,LT,0,0,0
699301,RJ-0800,MD,7,1,0
699302,RJ-0800,LT,12,1,0
699303,RJ-0800,LT,3,1,0
699304,RJ-0800,LG,9,1,0
699305,RJ-0800,LG,1,0,0
699306,RJ-0800,MD,-3,0,0
699307,RJ-0800,MD,11,0,0
699319,DJ-1325,LT,2,0,0
699322,DJ-1325,RE,-2,0,0
699327,JE-0100,RE,0,0,0
699331,LB-0500,MD,2,0,0
699333,LB-0500,RT,6,1,0
699338,DJ-1325,MD,3,0,0
699343,LB-0500,RT,1,0,0
699346,JW-2550,MD,4,1,0
699347,LB-0500,MD,13,1,0
699349,LB-0500,RT,2,0,0
699352,JE-0100,LE,7,1,0
699360,DJ-1325,MD,1,0,0
699361,DJ-1325,RT,7,1,0
699369,LB-0500,MD,1,0,0
699371,DJ-1325,MD,6,1,0
699373,DJ-1325,MD,8,1,0
699374,DJ-1325,RE,3,1,0
699375,DJ-1325,MD,3,0,0
699377,CJ-1700,MD,2,1,0
699379,DJ-1325,MD,0,0,0
699380,DJ-1325,MD,3,1,0
699384,BB-2250,MD,4,1,0
699385,JG-0650,MD,0,0,0
699392,LB-0500,MD,1,0,0
699393,LB-0500,RE,3,0,0
699395,LB-0500,MD,4,0,0
699396,LB-0500,RT,4,0,0
699401,LB-0500,LT,1,0,0
699402,JG-0650,MD,10,1,0
699404,LB-0500,RT,13,1,0
699405,LB-0500,RT,-1,0,0
699408,LB-0500,MD,8,1,0
699412,DJ-1325,RT,5,1,0
699413,CP-0500,MD,1,1,0
699414,CP-0500,MD,0,0,0
699419,LB-0500,MD,0,0,0
699423,DJ-1325,MD,3,1,0
699424,DJ-1325,MD,1,1,0
699427,LB-0500,LE,3,0,0
699428,JE-0100,RE,9,1,0
699430,LB-0500,MD,1,0,0
699432,LB-0500,LE,1,0,0
699435,LB-0500,MD,1,0,0
699445,DJ-1325,MD,45,1,0
699455,LB-0500,MD,-6,0,0
699458,LB-0500,MD,-1,0,0
699460,LB-0500,LT,13,1,0
699464,JG-0650,RE,3,0,0
699474,DJ-1325,RT,1,0,0
699479,JG-0650,NL,-1,0,1
699482,MJ-2275,MD,0,0,0
699486,MJ-2275,LE,-4,0,0
699489,DW-3600,LE,0,0,0
699493,MJ-2275,RE,5,1,0
699495,MJ-2275,RT,8,1,0
699498,MJ-2275,LG,4,1,0
699504,DW-3600,MD,4,1,0
699518,DW-3600,LG,8,1,0
699519,DW-3600,RE,3,1,0
699520,DW-3600,LT,3,0,0
699522,FT-0300,RT,2,0,0
699532,CT-1220,RG,6,0,0
699535,DW-3600,LG,5,1,0
699537,DW-3600,MD,3,1,0
699538,DW-3600,LE,9,1,0
699539,DW-3600,RE,0,0,0
699540,DW-3600,RG,3,1,0
699551,CT-1220,RT,9,1,0
699553,DW-3600,LE,7,1,0
699556,DW-3600,LE,17,1,0
699557,DW-3600,RE,0,0,0
699558,FT-0300,RG,7,1,0
699563,MJ-2275,LE,-1,0,0
699574,MJ-2275,LT,12,1,0
699586,DW-3600,LT,4,1,0
699587,DW-3600,MD,4,1,0
699591,CT-1220,LE,7,1,0
699596,CT-1220,RE,1,1,0
699600,DW-3600,RE,9,1,0
699601,DW-3600,MD,4,1,0
699603,DW-3600,RG,8,1,0
699604,DW-3600,MD,3,1,0
699605,FT-0300,RE,-3,0,0
699608,DW-3600,RE,5,1,0
699611,DW-3600,LE,15,1,0
699619,KC-2350,RE,8,0,0
699620,DW-3600,LE,13,1,0
699621,DW-3600,LT,1,0,0
699622,DW-3600,LG,4,0,0
699624,DW-3600,MD,5,1,0
699625,DW-3600,LE,6,1,0
699635,BR-1100,NL,-2,0,1
699637,TG-1950,RT,4,1,0
699641,CK-0250,RT,6,1,0
699646,CH-5000,LT,1,0,0
699648,BG-0100,MD,11,1,0
699649,BG-0100,LE,3,0,0
699653,TG-1950,LG,1,0,0
699654,TG-1950,RT,1,0,0
699659,BG-0100,MD,5,1,0
699661,BG-0100,LG,11,1,0
699662,CH-5000,MD,4,1,0
699665,SD-0800,MD,-1,0,0
699666,CH-5000,MD,11,1,0
699670,TG-1950,MD,3,0,0
699674,CH-5000,RG,1,0,0
699675,CH-5000,RT,18,1,0
699676,SD-0800,RT,6,1,0
699677,SD-0800,RT,1,0,0
699678,BG-0100,LE,2,0,0
699681,TG-1950,LE,2,0,0
699682,TG-1950,RE,5,1,0
699683,TG-1950,RE,2,0,0
699684,TG-1950,MD,3,1,0
699686,CH-5000,LT,16,1,0
699691,CH-5000,LE,0,0,0
699692,SD-0800,MD,6,1,0
699693,BG-0100,MD,9,1,0
