uid,pid,ptm,pen,desc,cat,pey,act
63012,700095,CLE,CC-3650,Unsportsmanlike Conduct,6,15,A
63013,700101,BAL,DP-1300,Illegal Shift,3,5,A
63014,700109,CLE,CE-0650,Ineligible Downfield Pass,3,5,A
63015,700131,BAL,LW-0700,Defensive Holding,5,0,O
63016,700131,CLE,TP-2400,Taunting,6,0,O
63017,700144,CIN,,Illegal Shift,3,0,D
63018,700154,PIT,MG-0500,False Start,1,5,A
63019,700193,CIN,CF-0337,Illegal Block Above the Waist,7,0,D
63020,700193,CIN,JW-6545,Offensive Holding,2,0,D
63021,700193,CIN,MF-0700,Illegal Block Above the Waist,7,9,A
63022,700201,CIN,CF-0337,Unnecessary Roughness,6,2,A
63023,700241,PIT,JH-1375,Horse Collar,7,15,A
63024,700255,CIN,AW-1100,Offensive Holding,2,10,A
63025,700256,CIN,AD-0100,Delay of Game,3,5,A
63026,700261,PIT,RC-1550,Defensive Pass Interference,5,20,A
63027,700264,PIT,AB-3875,Defensive Pass Interference,5,9,A
63028,700272,CIN,PS-0300,Defensive Offside,4,5,A
63029,700319,PIT,JB-3275,Delay of Game,3,5,A
63030,700329,WAS,PS-0550,Defensive Offside,4,0,D
63031,700346,WAS,RK-0500,Neutral Zone,4,5,A
63032,700350,DAL,,Illegal Formation,3,0,D
63033,700352,DAL,DP-2037,Delay of Game,3,5,A
63034,700353,WAS,BB-2725,Defensive Pass Interference,5,6,A
63035,700358,WAS,NP-0100,Illegal Formation,3,5,A
63036,700359,DAL,MC-1350,Defensive Holding,5,5,A
63037,700372,DAL,TF-1350,Offensive Holding,2,10,A
63038,700380,WAS,PS-0550,Defensive Offside,4,5,A
63039,700394,WAS,VD-0100,False Start,1,5,A
63040,700428,DAL,BC-1200,Illegal Touch Kick,3,5,A
63041,700439,DAL,AH-3350,Roughing the Passer,6,9,A
63042,700441,DAL,CT-1300,Encroachment,4,5,A
63043,700460,WAS,MF-1400,Roughing the Passer,6,15,A
63044,700462,WAS,JN-1750,Illegal Use of Hands,5,5,A
63045,700487,WAS,KL-1000,False Start,1,5,A
63046,700504,KC,MP-0950,Defensive Pass Interference,5,0,D
63047,700509,HOU,WM-0550,Defensive Offside,4,5,A
63048,700509,HOU,KJ-0650,Unsportsmanlike Conduct,6,0,D
63049,700512,HOU,CF-0375,Offensive Holding,2,7,A
63050,700537,KC,ZF-0300,Offensive Holding,2,10,A
63051,700538,KC,EF-0050,False Start,1,5,A
63052,700551,KC,MP-0950,Taunting,6,15,A
63053,700568,KC,EF-0050,Offensive Holding,2,10,A
63054,700584,HOU,JA-1050,Offensive Holding,2,10,A
63055,700588,KC,RT-1550,Illegal Block Above the Waist,7,10,A
63056,700597,KC,TK-0150,Offensive Holding,2,7,A
63057,700619,HOU,CC-1900,Offensive Holding,2,0,D
63058,700640,HOU,XS-0100,Illegal Use of Hands,2,10,A
63059,700643,KC,,Offensive Holding,2,10,A
63060,700649,HOU,KJ-0100,Defensive Pass Interference,5,12,A
63061,700652,KC,MS-0550,False Start,1,5,A
63062,700653,KC,ZF-0300,False Start,1,5,A
63063,700671,NE,JF-3150,Defensive Holding,5,5,A
63064,700696,NE,MC-0400,Offensive Holding,2,10,A
63065,700711,NE,BM-2850,False Start,1,5,A
63066,700720,MIA,XH-0100,Illegal Use of Hands,5,5,A
63067,700727,MIA,IA-0100,Unnecessary Roughness,6,15,A
63068,700744,NE,,12 On-field,3,5,A
63069,700755,MIA,KS-2350,Offensive Holding,2,10,A
63070,700764,NE,JT-2825,Offensive Holding,2,10,A
63071,700766,MIA,BM-0775,Unsportsmanlike Conduct,6,9,A
63072,700785,MIA,MT-0850,Illegal Block Above the Waist,7,10,A
63073,700790,NE,LR-0600,Defensive Pass Interference,5,20,A
63074,700798,NE,JT-2825,Offensive Holding,2,10,A
63075,700858,NO,CJ-2400,Defensive Offside,4,0,D
63076,700858,NO,SM-3000,Defensive Pass Interference,5,23,A
63077,700876,NO,MI-0100,False Start,1,5,A
63078,700898,NO,BC-1850,Offensive Pass Interference,2,10,A
63079,700914,NO,DB-3800,Delay of Game,3,5,A
63080,700933,NO,JD-2800,Offensive Holding,2,10,A
63081,700942,NYG,MN-0400,Offensive Holding,2,10,A
63082,700943,NYG,EF-0075,Offensive Holding,2,10,A
63083,700975,NYG,RO-0450,Defensive Offside,4,0,O
63084,700975,NO,TA-0850,Offensive Holding,2,0,O
63085,700985,NO,BC-1850,Offensive Holding,2,10,A
63086,700986,NYG,JP-2900,Neutral Zone,4,5,A
63087,700994,NO,SM-3000,Defensive Pass Interference,5,13,A
63088,701004,NO,NF-0100,Unsportsmanlike Conduct,6,0,D
63089,701005,CAR,ST-0550,Offensive Holding,2,9,A
63090,701021,SF,GD-0400,Encroachment,4,5,A
63091,701025,SF,JW-0750,Illegal Contact,5,5,A
63092,701026,CAR,KB-0950,Offensive Pass Interference,2,10,A
63093,701050,SF,GC-0350,Offensive Holding,2,10,A
63094,701072,CAR,ST-0550,Illegal Contact,5,0,D
63095,701078,SF,SD-0800,Offensive Holding,2,0,D
63096,701083,CAR,TT-1850,Offensive Holding,2,10,A
63097,701084,CAR,,Ineligible Downfield Pass,3,0,D
63098,701103,SF,NB-0400,Face Mask,6,15,A
63099,701104,CAR,RK-0100,Offensive Holding,2,10,A
63100,701107,SF,KR-0325,Illegal Contact,5,5,A
63101,701124,CAR,DF-2200,Unsportsmanlike Conduct,6,15,A
63102,701133,SF,AT-0750,Offensive Holding,2,10,A
63103,701146,CAR,GG-0350,Unsportsmanlike Conduct,6,1,A
63104,701157,CAR,,Delay of Game,3,5,A
63105,701177,CAR,RK-0100,Offensive Holding,2,0,D
63106,701189,CAR,CN-0500,Delay of Game,3,5,A
63107,701196,TEN,CR-0875,Offensive Holding,2,8,A
63108,701197,DET,HN-0300,Defensive Offside,4,5,A
63109,701204,DET,KT-0625,Defensive Offside,4,5,A
63110,701212,TEN,BM-0800,Offensive Holding,2,5,A
63111,701214,DET,BC-2350,Offensive Holding,2,10,A
63112,701215,TEN,DJ-2250,Defensive Offside,4,5,A
63113,701222,DET,EE-0050,Offensive Holding,2,10,A
63114,701232,DET,DS-2250,Defensive Holding,5,5,A
63115,701234,DET,DT-0150,Defensive Offside,4,5,A
63116,701238,TEN,TS-1262,Illegal Crackback,7,15,A
63117,701242,TEN,KB-2850,Offside on Free Kick,3,5,A
63118,701245,TEN,BM-0800,Defensive Holding,5,0,D
63119,701246,DET,TS-3650,Offensive Holding,2,10,A
63120,701249,TEN,KD-1125,Illegal Use of Hands,5,5,A
63121,701262,TEN,KD-1125,Illegal Use of Hands,5,5,A
63122,701268,TEN,PC-0800,Defensive Pass Interference,5,4,A
63123,701269,DET,EE-0050,Offensive Pass Interference,2,10,A
63124,701270,DET,LT-0650,Offensive Holding,2,10,A
63125,701271,DET,AB-2000,Offensive Holding,2,10,A
63126,701285,DET,,Illegal Shift,3,5,A
63127,701289,TEN,BM-0800,Illegal Block Above the Waist,7,6,A
63128,701297,DET,LT-0650,Offensive Holding,2,10,A
63129,701299,DET,GT-0100,Unnecessary Roughness,6,15,A
63130,701304,TEN,PC-0800,Defensive Holding,5,5,A
63131,701307,DET,AB-2000,Offensive Pass Interference,2,10,A
63132,701310,TEN,DB-0950,Roughing the Passer,6,10,A
63133,701318,DET,NL-0250,Defensive Pass Interference,5,5,A
63134,701331,DET,SM-0650,Delay of Game,3,5,A
63135,701334,DET,DS-2250,Defensive Pass Interference,5,8,A
63136,701350,DET,BC-2350,Illegal Use of Hands,5,0,D
63137,701353,TEN,RM-1500,Offensive Pass Interference,2,10,A
63138,701371,SEA,KC-0900,Face Mask,6,15,A
63139,701383,LA,GR-0450,Offensive Holding,2,10,A
63140,701389,LA,EW-0550,Defensive Offside,4,5,A
63141,701392,SEA,BS-3050,False Start,1,5,A
63142,701393,SEA,JB-5750,False Start,1,5,A
63143,701394,LA,AO-0250,Unnecessary Roughness,6,15,A
63144,701399,SEA,JK-0250,Offensive Pass Interference,2,10,A
63145,701400,LA,TJ-2250,Face Mask,6,5,A
63146,701412,SEA,TL-1025,Offensive Pass Interference,2,10,A
63147,701423,LA,TH-1650,Defensive Pass Interference,5,18,A
63148,701424,SEA,BS-3050,Offensive Holding,2,0,O
63149,701424,LA,TJ-2250,Illegal Contact,5,0,O
63150,701458,SEA,DS-1730,Illegal Use of Hands,5,0,D
63151,701480,LA,RS-0100,False Start,1,5,A
63152,701488,SEA,KC-0900,Defensive Pass Interference,5,24,A
63153,701493,LA,JH-3230,Delay of Game,3,5,A
63154,701497,SEA,JK-0250,Offensive Pass Interference,2,10,A
63155,701503,LA,CH-1230,Offensive Holding,2,10,A
63156,701505,SEA,MB-1900,Defensive Offside,4,0,D
63157,701509,LA,,12 On-field,3,5,A
63158,701512,SEA,CM-0250,Face Mask,6,15,A
63159,701514,LA,GR-0450,Offensive Holding,2,0,D
63160,701519,SEA,JG-2900,False Start,1,5,A
63161,701522,SEA,MB-1900,Unnecessary Roughness,6,15,A
63162,701562,TB,GM-0500,Encroachment,4,4,A
63163,701563,TB,BG-2100,Defensive Pass Interference,5,0,D
63164,701579,ARI,MC-2570,Defensive Pass Interference,5,15,A
63165,701607,ARI,JV-0300,Offensive Holding,2,10,A
63166,701614,ARI,MG-0925,Illegal Use of Hands,5,5,A
63167,701615,TB,AM-0750,Offensive Holding,2,0,D
63168,701623,TB,ME-0600,Offensive Pass Interference,2,10,A
63169,701638,TB,DD-2300,Illegal Use of Hands,2,10,A
63170,701674,TB,AV-0300,Illegal Block Above the Waist,7,10,A
63171,701688,ARI,TB-2400,Defensive Holding,5,0,D
63172,701699,TB,JW-5650,Delay of Game,3,5,A
63173,701707,OAK,JW-0725,Defensive Offside,4,5,A
63174,701711,ATL,RS-0650,False Start,1,5,A
63175,701720,ATL,LR-0350,Offensive Holding,2,4,A
63176,701730,ATL,DS-1760,Neutral Zone,4,5,A
63177,701746,OAK,CW-0225,Illegal Block Above the Waist,7,9,A
63178,701753,ATL,RA-0650,Defensive Pass Interference,5,36,A
63179,701772,OAK,LS-1550,Offensive Holding,2,10,A
63180,701775,OAK,MK-0760,Horse Collar,7,9,A
63181,701794,ATL,DG-1300,12 On-field,3,5,A
63182,701796,OAK,RH-3200,False Start,1,5,A
63183,701807,OAK,CW-0225,False Start,1,5,A
63184,701808,OAK,GJ-0050,Offensive Holding,2,10,A
63185,701819,OAK,BI-0150,Defensive Holding,5,0,D
63186,701839,ATL,JJ-4700,Delay of Game,3,5,A
63187,701847,ATL,DT-1970,Defensive Pass Interference,5,13,A
63188,701850,OAK,AC-2350,Illegal Touch Pass,3,0,A
63189,701856,OAK,DW-3200,Neutral Zone,4,5,A
63190,701922,IND,RM-3850,Defensive Pass Interference,5,16,A
63191,701949,DEN,MG-0250,Offensive Holding,2,10,A
63192,701965,DEN,BM-0330,Defensive Holding,5,5,A
63193,701966,IND,JD-2550,Offensive Holding,2,10,A
63194,701972,DEN,TW-0600,Defensive Holding,5,4,A
63195,701975,DEN,TW-0600,Defensive Offside,4,5,A
63196,701988,IND,DM-4015,Defensive Pass Interference,5,9,A
63197,702000,DEN,AT-0100,Defensive Holding,5,5,A
63198,702001,IND,JR-1600,False Start,1,5,A
63199,702013,IND,AC-2400,Defensive Pass Interference,5,18,A
63200,702020,DEN,DS-4300,Unnecessary Roughness,6,15,A
63201,702026,IND,AL-1100,Delay of Game,3,5,A
63202,702033,IND,WG-0800,Defensive Pass Interference,5,21,A
63203,702039,DEN,,False Start,1,5,A
63204,702048,IND,JH-2250,Offensive Holding,2,10,A
63205,702053,DEN,,12 On-field,3,5,A
63206,702066,JAC,JT-2000,False Start,1,5,A
63207,702099,JAC,SM-0500,Defensive Offside,4,2,A
63208,702103,JAC,JP-0900,Offensive Holding,2,10,A
63209,702111,JAC,JO-0300,Defensive Offside,4,0,A
63210,702112,JAC,HP-0200,Defensive Holding,5,0,A
63211,702113,SD,SM-1750,False Start,1,4,A
63212,702116,SD,DP-1250,Defensive Pass Interference,5,14,A
63213,702125,JAC,JJ-3550,Offensive Holding,2,8,A
63214,702134,JAC,LJ-0750,Offensive Holding,2,10,A
63215,702137,JAC,DH-4000,Defensive Pass Interference,5,13,A
63216,702145,JAC,LJ-0750,False Start,1,5,A
63217,702164,JAC,JO-0300,Defensive Offside,4,5,A
63218,702164,JAC,JO-0300,Unsportsmanlike Conduct,6,15,A
63219,702184,JAC,JC-6400,Defensive Holding,5,5,A
63220,702205,SD,KC-1400,Delay of Game,3,5,A
63221,702207,JAC,DS-2200,Offensive Holding,2,10,A
63222,702218,JAC,JM-7000,Offside on Free Kick,3,5,A
63223,702240,MIN,TN-0400,Defensive Pass Interference,5,40,A
63224,702242,MIN,TN-0400,Defensive Holding,5,1,A
63225,702251,MIN,MK-0150,False Start,1,5,A
63226,702267,MIN,AS-2000,False Start,1,5,A
63227,702268,MIN,BF-1500,False Start,1,5,A
63228,702284,MIN,EG-0900,Defensive Offside,4,0,D
63229,702296,MIN,SB-1100,Delay of Game,3,5,A
63230,702299,GB,DA-0212,Offensive Pass Interference,2,10,A
63231,702300,MIN,BR-1000,Neutral Zone,4,5,A
63232,702304,GB,RR-1050,Offensive Holding,2,10,A
63233,702308,GB,MD-0060,Roughing the Passer,6,15,A
63234,702313,MIN,TW-1187,Defensive Pass Interference,5,13,A
63235,702316,MIN,TW-1187,Defensive Holding,5,5,A
63236,702330,GB,DR-0450,Defensive Pass Interference,5,0,D
63237,702334,GB,TL-0300,Offensive Holding,2,10,A
63238,702335,MIN,TW-1187,Defensive Pass Interference,5,28,A
63239,702343,GB,JT-3350,Unsportsmanlike Conduct,6,15,A
63240,702346,MIN,SD-0537,Unnecessary Roughness,6,15,A
63241,702362,MIN,MA-0350,False Start,1,5,A
63242,702375,GB,DR-0450,Defensive Pass Interference,5,12,A
63243,702379,MIN,SB-1100,Delay of Game,3,5,A
63244,702401,CHI,JS-3500,Offensive Holding,2,10,A
63245,702410,PHI,JP-2400,Offensive Holding,2,10,A
63246,702419,PHI,NC-0100,Defensive Pass Interference,5,4,A
63247,702424,PHI,JK-0500,Offensive Holding,2,10,A
63248,702425,PHI,JK-0500,Face Mask,6,0,D
63249,702438,CHI,AH-3050,Roughing the Passer,6,14,A
63250,702445,CHI,CW-1875,False Start,1,5,A
63251,702460,PHI,BC-0700,Illegal Formation,3,5,A
63252,702480,CHI,DH-4050,Offensive Holding,2,10,A
63253,702492,CHI,JB-7450,Defensive Offside,4,0,D
63254,702505,CHI,AH-3050,Defensive Offside,4,1,A
63255,702520,PHI,MT-1100,False Start,1,5,A
63256,702526,CHI,DH-0850,Unnecessary Roughness,6,15,A
63257,702527,CHI,WY-0300,Neutral Zone,4,5,A
63258,702543,HOU,CJ-0650,Interference with Opportunity to Catch,6,15,A
63259,702558,HOU,JJ-5000,Defensive Pass Interference,5,12,A
63260,702568,NE,MC-0400,False Start,1,5,A
63261,702578,HOU,CF-0375,Illegal Formation,3,5,A
63262,702593,NE,JT-2825,False Start,1,5,A
63263,702631,HOU,QD-0100,Defensive Pass Interference,5,6,A
63264,702634,HOU,AB-2250,Defensive Pass Interference,5,1,A
63265,702661,HOU,JS-7075,Unnecessary Roughness,6,4,A
63266,702670,NE,BK-0950,Defensive Offside,4,0,D
63267,702693,NE,RA-0850,Delay of Game,3,5,A
