uid,pid,tck,value
460793,698380,RH-0700,1
460794,698382,CR-1150,1
460795,698383,KV-0050,1
460796,698385,NF-0100,1
460797,698386,NF-0100,0.5
460798,698386,JL-0600,0.5
460799,698389,MS-2400,1
460800,698391,DA-0950,1
460801,698392,DA-0950,1
460802,698394,KC-2550,1
460803,698395,KC-2550,1
460804,698396,JL-0600,1
460805,698397,JJ-1650,0.5
460806,698397,DO-0250,0.5
460807,698399,JJ-1650,0.5
460808,698399,CR-1150,0.5
460809,698406,PK-0300,1
460810,698408,MM-1550,1
460811,698409,KV-0050,1
460812,698410,DH-1425,1
460813,698411,JL-0600,1
460814,698412,KV-0050,1
460815,698413,KC-2550,1
460816,698415,JL-0600,0.5
460817,698415,CR-1150,0.5
460818,698419,BH-1110,1
460819,698420,DH-2150,0.5
460820,698420,RN-0300,0.5
460821,698421,DH-2150,1
460822,698422,DA-2050,0.5
460823,698422,BH-1110,0.5
460824,698423,MS-2400,1
460825,698424,KM-1150,1
460826,698425,DH-2150,1
460827,698426,JW-0725,0.5
460828,698426,KM-0050,0.5
460829,698430,JB-8800,0.5
460830,698430,PW-0850,0.5
460831,698431,JL-0600,0.5
460832,698431,KV-0050,0.5
460833,698437,JW-0725,0.5
460834,698437,MS-2400,0.5
460835,698439,RN-0300,1
460836,698440,DL-0418,0.5
460837,698440,KM-0050,0.5
460838,698442,SM-1650,1
460839,698450,KM-0050,1
460840,698451,DH-2150,1
460841,698455,JL-0600,0.5
460842,698455,PW-0850,0.5
460843,698456,CR-1150,0.5
460844,698456,JB-8800,0.5
460845,698457,CR-1150,1
460846,698458,SA-1150,1
460847,698460,CR-1150,1
460848,698461,JB-8800,1
460849,698464,KV-0050,1
460850,698466,CR-1150,1
460851,698470,MS-2400,1
460852,698472,RN-0300,1
460853,698477,JA-0280,1
460854,698478,JV-0425,1
460855,698479,DL-2300,1
460856,698480,CL-1000,1
460857,698481,MT-0350,1
460858,698485,JM-0875,1
460859,698486,AB-0100,1
460860,698487,RP-0200,1
460861,698488,PG-0050,1
460862,698489,FZ-0100,1
460863,698494,DP-1250,1
460864,698495,MT-0350,1
460865,698496,CH-2250,0.5
460866,698496,JA-0280,0.5
460867,698503,SN-0450,1
460868,698504,FZ-0100,1
460869,698506,MP-0950,1
460870,698507,FZ-0100,1
460871,698508,AB-0100,1
460872,698509,SN-0450,1
460873,698510,JM-0875,1
460874,698511,JM-0875,1
460875,698512,EB-0800,1
460876,698514,EB-0800,1
460877,698519,MT-0350,0.5
460878,698519,CH-2250,0.5
460879,698523,FZ-0100,1
460880,698524,MP-0950,1
460881,698526,PG-0050,1
460882,698527,JM-0875,1
460883,698528,RP-0200,1
460884,698532,DP-1275,1
460885,698533,MI-0150,1
460886,698534,BM-1800,1
460887,698535,MT-0350,1
460888,698536,BF-0800,1
460889,698537,CL-1000,1
460890,698539,DJ-1600,1
460891,698540,MP-0950,1
460892,698541,DW-2325,1
460893,698542,PG-0050,1
