uid,gid,player,pa,pc,py,ints,tdp,ra,sra,ry,tdr,trg,rec,recy,tdrec,ret,rety,tdret,fuml,peny,conv,snp,fp,fp2,fp3,game,seas,year,team,posd,jnum,dcp
88641,4259,KW-0887,0,0,0,0,0,0,0,0,0,7,3,34,0,0,0,0,0,5,0,55,3.4,4.9,6.4,1,2,2016,CHI,RWR,13,1
88642,4259,LP-0200,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20,0,0,0,1,7,2016,CHI,TE,82,3
88643,4259,WF-0300,0,0,0,0,0,0,0,0,0,11,5,107,1,0,0,0,0,0,0,54,16.7,19.2,24.7,1,1,2016,HOU,RWR,15,1
88644,4259,RG-1870,0,0,0,0,0,0,0,0,0,2,2,17,0,0,0,0,0,0,0,35,1.7,2.7,3.7,1,4,2016,HOU,TE,84,2
88645,4259,SA-0850,0,0,0,0,0,0,0,0,0,3,3,25,0,0,0,0,0,0,0,24,2.5,4,5.5,1,1,2016,HOU,TE,89,3
88646,4259,DT-1250,0,0,0,0,0,0,0,0,0,0,0,0,0,5,103,0,0,0,0,2,0,0,0,1,5,2016,CHI,LWR,14,2
88647,4259,ZM-0250,0,0,0,0,0,0,0,0,0,4,3,14,0,0,0,0,0,10,0,43,1.4,2.9,4.4,1,8,2016,CHI,TE,86,1
88648,4259,KC-0250,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,2,0.4,0.4,0.4,1,3,2016,CHI,RB,25,2
88649,4259,BM-2350,0,0,0,0,0,0,0,0,0,3,1,6,0,0,0,0,0,0,0,52,0.6,1.1,1.6,1,1,2016,HOU,RWR,13,2
88650,4259,JP-4187,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,15,0,10,0.2,0.2,0.2,1,3,2016,HOU,FB,45,1
88651,4259,AB-1975,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,3,0.4,0.4,0.4,1,3,2016,HOU,RB,28,2
88652,4260,JH-4025,0,0,0,0,0,9,4,31,1,0,0,0,0,0,0,0,0,0,0,29,9.1,9.1,9.1,1,3,2016,CIN,RB,32,1
88653,4260,AD-0100,30,23,366,1,1,3,1,7,0,0,0,0,0,0,0,0,0,0,0,57,17.34,18.34,20.34,1,6,2016,CIN,QB,14,1
88654,4260,AG-1500,0,0,0,0,0,0,0,0,0,13,12,180,1,0,0,0,0,0,0,54,24,30,39,1,6,2016,CIN,LWR,18,1
88655,4260,JM-0887,0,0,0,0,0,0,0,0,0,0,0,0,0,5,121,0,0,0,0,15,0,0,0,1,1,2016,NYJ,LWR,89,2
88656,4260,RF-0500,35,19,189,1,2,4,3,15,0,0,0,0,0,0,0,0,0,0,0,71,15.06,16.06,15.06,1,12,2016,NYJ,QB,14,1
88657,4260,QE-0100,0,0,0,0,0,0,0,0,0,8,7,54,1,0,0,0,0,0,0,63,11.4,14.9,18.4,1,3,2016,NYJ,RWR,81,2
