pid,qtr,min,sec,dwn,yds,pts,player,type
700252,3,6,23,1,9,7,JJ-0725,REC
700294,4,6,53,3,4,7,DW-3600,REC
700304,4,3,34,2,25,7,GB-0350,REC
700354,1,1,45,1,1,7,EE-0250,RUSH
700366,2,13,16,1,14,7,MJ-2275,RUSH
700414,3,11,23,2,11,7,JC-5680,REC
700426,3,5,47,2,6,7,DP-2037,RUSH
700467,4,4,49,2,4,7,AM-2850,RUSH
700504,1,8,8,1,27,7,DH-3950,REC
700668,1,11,2,2,12,7,DA-0900,REC
700682,1,6,27,3,20,7,MB-1800,REC
700701,2,13,14,3,10,7,DA-0900,REC
700767,3,8,46,1,9,7,LB-0500,RUSH
700776,3,5,52,2,24,7,KS-2350,REC
700791,4,14,55,1,12,7,JC-0400,REC
700810,4,6,10,2,7,7,KD-1462,RUSH
700902,2,2,45,4,80,7,JJ-1550,BLFG
700957,4,13,53,1,17,7,WS-0925,REC
701032,1,4,14,2,9,7,ST-0550,FUM
701054,2,10,10,2,28,7,TS-2300,REC
701057,2,9,52,1,78,7,GO-0100,REC
701112,3,8,44,2,10,7,KB-0950,REC
701124,3,5,3,2,9,7,KB-0950,REC
701147,4,12,35,1,1,7,BG-0100,RUSH
701161,4,8,3,2,75,7,VM-0250,REC
701179,4,3,36,3,16,6,DF-2200,REC
701224,1,4,23,2,24,7,AB-2000,REC
701321,4,15,0,1,30,7,DW-0500,REC
701356,4,1,19,4,9,6,AJ-0900,REC
701563,2,14,59,1,4,7,LF-0200,REC
701600,2,1,35,3,1,7,MF-0950,REC
701611,2,0,26,2,51,7,JB-6750,REC
701629,3,10,6,3,19,7,ME-0600,REC
701644,3,5,15,1,60,6,MC-2570,INT
701662,4,12,15,2,3,7,CJ-1700,RUSH
701754,2,7,54,1,1,7,LM-1850,RUSH
701766,2,4,51,2,21,7,JJ-4700,REC
701799,3,11,24,1,31,7,CW-0225,REC
701819,3,3,50,1,14,8,JT-0300,REC
701834,4,12,3,4,2,7,MC-2900,REC
701842,4,9,35,3,8,7,JH-1350,REC
701857,4,4,41,1,13,7,TC-2050,RUSH
701867,4,2,20,2,6,7,AH-3600,REC
701924,2,11,45,2,4,7,CA-0750,RUSH
701980,3,8,11,2,5,7,RT-1950,RUSH
702004,4,14,6,3,46,7,AT-0100,INT
702030,4,4,9,2,7,7,FG-0200,REC
702044,4,1,51,1,15,8,SR-0250,FUM
702063,1,10,17,1,3,7,MG-1150,RUSH
702086,2,15,0,1,6,7,TB-1060,REC
702100,2,9,58,1,2,7,AG-0500,REC
702140,3,11,6,3,44,7,TW-2875,REC
702166,3,2,57,2,45,7,TB-1060,REC
702180,4,12,59,2,4,7,ML-1500,REC
702216,4,1,12,2,15,7,CG-1950,REC
702244,1,5,44,2,1,7,JN-0900,REC
702271,2,10,18,3,8,7,KR-1200,REC
702330,3,2,16,1,25,7,SD-0537,REC
702343,4,12,50,3,10,7,AR-1300,RUSH
702420,2,11,19,1,1,7,JL-0280,RUSH
702488,3,0,59,1,3,7,RM-1200,RUSH
702492,3,0,36,1,2,6,TB-3950,REC
702506,4,10,41,4,1,7,RM-1200,RUSH
702523,4,5,30,4,65,7,ER-0500,PR
702569,1,2,1,1,27,7,JB-5725,RUSH
702635,3,5,46,1,1,7,LB-0500,RUSH
702665,4,11,8,2,41,7,LB-0500,RUSH
