gid,pid,detail,off,def,type,dseq,len,qtr,min,sec,ptso,ptsd,timo,timd,dwn,ytg,yfog,zone,yds,succ,fd,sg,nh,pts,bc,kne,dir,rtck1,rtck2,psr,comp,spk,loc,trg,dfb,ptck1,ptck2,sk1,sk2,ptm1,pen1,desc1,cat1,pey1,pdo1,ptm2,pen2,desc2,cat2,pey2,pdo2,ptm3,pen3,desc3,cat3,pey3,pdo3,ints,iry,fum,frcv,fry,forc,saf,blk,brcv,fgxp,fkicker,dist,good,punter,pgro,pnet,ptb,pr,pry,pfc,kicker,kgro,knet,ktb,kr,kry,lt,lg,c,rg,rt
4288,702451,"(:39) (No Huddle, Shotgun) C.Wentz pass incomplete short left to J.Matthews.",PHI,CHI,PASS,3,4,2,0,39,6,7,1,3,1,10,51,3,,,,Y,Y,,,,,,,CW-1425,,,SL,JM-1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JP-2400,MT-1100,DG-1850,AB-0500,IS-0125
4288,702452,(:35) (Shotgun) C.Wentz pass short middle to T.Burton to CHI 35 for 14 yards (J.Freeman).,PHI,CHI,PASS,4,16,2,0,35,6,7,1,3,2,10,51,3,14,Y,Y,Y,,,,,,,,CW-1425,Y,,SM,TB-3950,,JF-3060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JP-2400,MT-1100,DG-1850,AB-0500,IS-0125
4288,702453,(:19) (No Huddle) C.Wentz spiked the ball to stop the clock.,PHI,CHI,PASS,5,20,2,0,19,6,7,1,3,1,10,65,4,0,,,,Y,,,,,,,CW-1425,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JP-2400,MT-1100,DG-1850,AB-0500,IS-0125
4288,702454,(:19) (Shotgun) C.Wentz pass incomplete deep left to J.Matthews.,PHI,CHI,PASS,6,10,2,0,19,6,7,1,3,2,10,65,4,,,,Y,,,,,,,,CW-1425,,,DL,JM-1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JP-2400,MT-1100,DG-1850,AB-0500,IS-0125
4288,702455,(:13) (Shotgun) C.Wentz pass incomplete short left to J.Matthews.,PHI,CHI,PASS,7,5,2,0,13,6,7,1,3,3,10,65,4,,,,Y,,,,,,,,CW-1425,,,SL,JM-1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JP-2400,MT-1100,DG-1850,AB-0500,IS-0125
4288,702456,"(:08) (Field Goal formation) C.Sturgis 53 yard field goal is GOOD, Center-J.Dorenbos, Holder-D.Jones.",PHI,CHI,FGXP,8,5,2,0,8,6,7,1,2,4,10,65,4,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FG,CS-4250,53,Y,,,,,,,,,,,,,,,,,,
4288,702457,C.Sturgis kicks 48 yards from PHI 35 to CHI 17. B.Callahan to CHI 34 for 17 yards (M.Jenkins).,CHI,PHI,KOFF,0,6,2,0,3,7,9,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS-4250,48,31,,BC-0150,17,,,,,
4288,702458,C.Barth kicks 66 yards from CHI 35 to PHI -1. J.Huff to PHI 26 for 27 yards (B.Callahan).,PHI,CHI,KOFF,0,6,3,15,0,9,7,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CB-0700,66,39,,JH-5750,27,,,,,
4288,702459,(14:54) (Shotgun) R.Mathews left tackle to PHI 28 for 2 yards (E.Goldman).,PHI,CHI,RUSH,1,44,3,14,54,9,7,3,3,1,10,26,2,2,,,Y,,,RM-1200,,LT,EG-0350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JP-2400,MT-1100,DG-1850,AB-0500,IS-0125
4288,702460,"(14:10) (Shotgun) C.Wentz pass short middle to B.Celek to PHI 41 for 13 yards (S.McManis). PENALTY on PHI-B.Celek, Illegal Formation, 5 yards, enforced at PHI 28 - No Play.",PHI,CHI,NOPL,1,22,3,14,10,9,7,3,3,2,8,28,2,,,,,,,,,,,,,,,,,,,,,,PHI,BC-0700,Illegal Formation,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JP-2400,MT-1100,DG-1850,AB-0500,IS-0125
4288,702461,(13:48) (Shotgun) C.Wentz sacked at PHI 16 for -7 yards (W.Young).,PHI,CHI,PASS,2,48,3,13,48,9,7,3,3,2,13,23,2,-7,,,Y,,,,,,,,CW-1425,,,,,,,,WY-0300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JP-2400,MT-1100,DG-1850,AB-0500,IS-0125
4288,702462,(13:00) (Shotgun) C.Wentz pass incomplete deep right to N.Agholor (J.Glenn).,PHI,CHI,PASS,3,8,3,13,0,9,7,3,3,3,20,16,1,,,,Y,,,,,,,,CW-1425,,,DR,NA-0050,JG-1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JP-2400,MT-1100,DG-1850,AB-0500,IS-0125
4288,702463,"(12:52) (Punt formation) D.Jones punts 55 yards to CHI 29, Center-J.Dorenbos, fair catch by E.Royal.",CHI,PHI,PUNT,0,8,3,12,52,7,9,3,3,4,20,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DJ-2800,55,55,,ER-0500,,Y,,,,,,,,,,,
4288,702464,(12:44) J.Langford left end pushed ob at CHI 45 for 16 yards (N.Carroll).,CHI,PHI,RUSH,1,35,3,12,44,7,9,3,3,1,10,29,2,16,Y,Y,,,,JL-0280,,LE,NC-0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CL-0862,MA-0250,JS-3500,TL-0400,CW-1875
4288,702465,(12:09) J.Cutler pass short left to Z.Miller to 50 for 5 yards (N.Carroll).,CHI,PHI,PASS,2,37,3,12,9,7,9,3,3,1,10,45,3,5,Y,,,,,,,,,,JC-6200,Y,,SL,ZM-0250,,NC-0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CL-0862,MA-0250,JS-3500,TL-0400,CW-1875
4288,702466,(11:32) (Shotgun) J.Cutler pass short right to E.Royal pushed ob at PHI 43 for 7 yards (J.Mills).,CHI,PHI,PASS,3,36,3,11,32,7,9,3,3,2,5,50,3,7,Y,Y,Y,,,,,,,,JC-6200,Y,,SR,ER-0500,,JM-4850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CL-0862,MA-0250,JS-3500,TL-0400,CW-1875
4288,702467,"(10:56) J.Cutler sacked at PHI 48 for -5 yards (D.Vaeao). FUMBLES (D.Vaeao) [D.Vaeao], RECOVERED by PHI-J.Hicks at PHI 47. J.Hicks to PHI 47 for no gain (J.Langford).",CHI,PHI,PASS,4,10,3,10,56,7,9,3,3,1,10,57,3,-4,,Y,,,,,,,,,JC-6200,,,,,,,,DV-0050,,,,,,,,,,,,,,,,,,,,,,JC-6200,JH-3675,0,DV-0050,,,,,,,,,,,,,,,,,,,,,CL-0862,MA-0250,JS-3500,TL-0400,CW-1875
4288,702468,(10:46) C.Wentz pass incomplete deep right to N.Agholor (J.Glenn).,PHI,CHI,PASS,1,8,3,10,46,9,7,3,3,1,10,47,3,,,,,,,,,,,,CW-1425,,,DR,NA-0050,JG-1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JP-2400,MT-1100,DG-1850,AB-0500,IS-0125
4288,702469,(10:38) (Shotgun) C.Wentz pass incomplete short middle to T.Burton (A.Hicks).,PHI,CHI,PASS,2,5,3,10,38,9,7,3,3,2,10,47,3,,,,Y,,,,,,,,CW-1425,,,SM,TB-3950,AH-3050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JP-2400,MT-1100,DG-1850,AB-0500,IS-0125
4288,702470,(10:33) (Shotgun) C.Wentz scrambles right end to CHI 46 for 7 yards (S.McManis).,PHI,CHI,RUSH,3,49,3,10,33,9,7,3,3,3,10,47,3,7,,,Y,,,CW-1425,,RE,SM-2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JP-2400,MT-1100,DG-1850,AB-0500,IS-0125
4288,702471,"(9:44) (Punt formation) D.Jones punts 35 yards to CHI 11, Center-J.Dorenbos, fair catch by E.Royal.",CHI,PHI,PUNT,0,8,3,9,44,7,9,3,3,4,3,54,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DJ-2800,35,35,,ER-0500,,Y,,,,,,,,,,,
4288,702472,(9:36) (Shotgun) J.Langford left tackle to CHI 17 for 6 yards (V.Curry).,CHI,PHI,RUSH,1,29,3,9,36,7,9,3,3,1,10,11,1,6,Y,,Y,,,JL-0280,,LT,VC-0400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CL-0862,MA-0250,JS-3500,TL-0400,CW-1875
4288,702473,"(9:07) (No Huddle, Shotgun) J.Langford left guard to CHI 20 for 3 yards (B.Graham).",CHI,PHI,RUSH,2,24,3,9,7,7,9,3,3,2,4,17,1,3,Y,,Y,Y,,JL-0280,,LG,BG-1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CL-0862,MA-0250,JS-3500,TL-0400,CW-1875
4288,702474,(8:43) (Shotgun) J.Langford left guard to CHI 23 for 3 yards (B.Allen).,CHI,PHI,RUSH,3,35,3,8,43,7,9,3,3,3,1,20,1,3,Y,Y,Y,,,JL-0280,,LG,BA-0350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CL-0862,MA-0250,JS-3500,TL-0400,CW-1875
4288,702475,(8:08) K.White left end to CHI 32 for 9 yards (M.Jenkins).,CHI,PHI,RUSH,4,38,3,8,8,7,9,3,3,1,10,23,2,9,Y,,,,,KW-0887,,LE,MJ-0600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CL-0862,MA-0250,JS-3500,TL-0400,CW-1875
4288,702476,(7:30) (Shotgun) J.Howard right tackle to CHI 42 for 10 yards (R.McLeod).,CHI,PHI,RUSH,5,34,3,7,30,7,9,3,3,2,1,32,2,10,Y,Y,Y,,,JH-5575,,RT,RM-3050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CL-0862,MA-0250,JS-3500,TL-0400,CW-1875
4288,702477,(6:56) (Shotgun) J.Howard left end pushed ob at 50 for 8 yards (R.Brooks).,CHI,PHI,RUSH,6,32,3,6,56,7,9,3,3,1,10,42,3,8,Y,,Y,,,JH-5575,,LE,RB-3350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CL-0862,MA-0250,JS-3500,TL-0400,CW-1875
4288,702478,(6:24) J.Langford right guard to CHI 46 for -4 yards (B.Graham).,CHI,PHI,RUSH,7,46,3,6,24,7,9,3,3,2,2,50,3,-4,,,,,,JL-0280,,RG,BG-1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CL-0862,MA-0250,JS-3500,TL-0400,CW-1875
4288,702479,(5:38) (Shotgun) J.Cutler pass incomplete short left to Z.Miller.,CHI,PHI,PASS,8,3,3,5,38,7,9,3,3,3,6,46,3,,,,Y,,,,,,,,JC-6200,,,SL,ZM-0250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CL-0862,MA-0250,JS-3500,TL-0400,CW-1875
4288,702480,"(5:35) (Punt formation) P.O'Donnell punts 32 yards to PHI 22, Center-P.Scales, downed by CHI-J.Anderson. PENALTY on CHI-D.Houston-Carson, Offensive Holding, 10 yards, enforced at PHI 22.",PHI,CHI,PUNT,0,11,3,5,35,9,7,3,3,4,6,46,3,,,,,,,,,,,,,,,,,,,,,,CHI,DH-4050,Offensive Holding,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,PO-0050,32,32,,,,,,,,,,,,,,,
4288,702481,(5:24) C.Wentz pass short right to J.Matthews pushed ob at CHI 46 for 22 yards (C.Prosinski).,PHI,CHI,PASS,1,38,3,5,24,9,7,3,3,1,10,32,2,22,Y,Y,,,,,,,,,CW-1425,Y,,SR,JM-1550,,CP-2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JP-2400,MT-1100,DG-1850,AB-0500,IS-0125
4288,702482,(4:46) (Shotgun) C.Wentz scrambles right end pushed ob at CHI 41 for 5 yards (J.Bullard).,PHI,CHI,RUSH,2,40,3,4,46,9,7,3,3,1,10,54,3,5,Y,,Y,,,CW-1425,,RE,JB-7450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JP-2400,MT-1100,DG-1850,AB-0500,IS-0125
4288,702483,(4:06) (Shotgun) W.Smallwood right guard to CHI 30 for 11 yards (H.Jones-Quartey).,PHI,CHI,RUSH,3,36,3,4,6,9,7,3,3,2,5,59,3,11,Y,Y,Y,,,WS-0650,,RG,HJ-0400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JP-2400,MT-1100,DG-1850,AB-0500,IS-0125
4288,702484,(3:30) (Shotgun) W.Smallwood left guard to CHI 25 for 5 yards (W.Young).,PHI,CHI,RUSH,4,28,3,3,30,9,7,3,3,1,10,70,4,5,Y,,Y,,,WS-0650,,LG,WY-0300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JP-2400,MT-1100,DG-1850,AB-0500,IS-0125
4288,702485,(3:02) (Shotgun) C.Wentz pass short left to T.Burton to CHI 14 for 11 yards (C.Prosinski).,PHI,CHI,PASS,5,40,3,3,2,9,7,3,3,2,5,75,4,11,Y,Y,Y,,,,,,,,CW-1425,Y,,SL,TB-3950,,CP-2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JP-2400,MT-1100,DG-1850,AB-0500,IS-0125
4288,702486,(2:22) C.Wentz pass short left to N.Agholor pushed ob at CHI 6 for 8 yards (T.Porter).,PHI,CHI,PASS,6,37,3,2,22,9,7,3,3,1,10,86,5,8,Y,,,,,,,,,,CW-1425,Y,,SL,NA-0050,,TP-2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JP-2400,MT-1100,DG-1850,AB-0500,IS-0125
4288,702487,(1:45) (Shotgun) K.Barner right guard to CHI 3 for 3 yards (L.Floyd).,PHI,CHI,RUSH,7,46,3,1,45,9,7,3,3,2,2,94,5,3,Y,Y,Y,,,KB-0350,,RG,LF-0450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JP-2400,MT-1100,DG-1850,AB-0500,IS-0125
4288,702488,"(:59) R.Mathews right guard for 3 yards, TOUCHDOWN.",PHI,CHI,RUSH,8,6,3,0,59,9,7,3,3,1,3,97,5,3,Y,Y,,,7,RM-1200,,RG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JP-2400,MT-1100,DG-1850,AB-0500,IS-0125
4288,702489,"C.Sturgis extra point is GOOD, Center-J.Dorenbos, Holder-D.Jones.",PHI,CHI,FGXP,8,3,3,0,53,16,7,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XP,CS-4250,33,Y,,,,,,,,,,,,,,,,,,
