pid,rb,te,drp,mbt,yac
697611,1,2,0,0,0
697612,1,1,0,0,2
697613,1,1,0,0,0
697614,1,1,0,0,8
697615,1,1,0,0,0
697617,1,1,0,0,0
697618,1,1,0,0,0
697619,1,0,0,0,0
697620,1,2,0,0,0
697621,1,2,0,0,0
697622,1,1,1,0,0
697625,1,1,0,0,0
697626,1,1,0,0,0
697627,1,1,0,0,0
697629,2,2,0,0,0
697630,2,2,0,0,0
697631,1,1,0,0,0
697632,2,2,0,1,0
697633,2,1,0,0,0
697634,1,1,0,0,0
697636,1,1,0,0,1
697637,1,1,0,0,0
697638,1,1,0,0,5
697639,1,1,0,0,2
697640,1,1,0,0,0
697641,1,1,0,0,0
697642,1,1,0,0,0
697643,1,1,0,0,0
697644,2,2,0,0,0
697646,2,1,0,0,0
697647,1,2,0,0,0
697649,1,0,0,0,0
697651,1,1,0,1,10
697652,1,1,0,1,0
697653,1,1,0,0,0
697654,1,0,0,0,0
697655,1,1,0,0,2
697656,1,2,0,3,0
697657,1,1,0,0,0
697658,1,1,0,0,10
697659,1,0,0,0,0
697661,1,1,0,0,0
697664,1,1,0,0,17
697665,2,1,0,0,0
697666,0,1,0,0,0
697667,1,1,0,0,0
697668,1,1,0,1,27
697669,1,1,0,0,0
697670,1,1,0,0,0
697672,1,1,1,0,0
697673,1,1,0,0,0
697674,1,1,0,0,0
697676,1,1,0,0,0
697677,1,1,0,2,33
697678,1,2,0,0,0
697679,1,2,0,0,0
697680,1,1,0,0,0
697683,1,2,0,0,0
697684,1,1,0,0,5
697685,1,1,0,0,0
697687,1,0,0,0,0
697688,1,0,0,0,0
697690,1,2,0,0,0
697691,1,2,0,0,0
697692,1,1,0,1,16
697693,1,1,0,0,5
697696,1,1,0,0,0
697697,1,1,1,0,0
697699,1,0,1,0,0
697700,1,0,0,2,0
697701,1,2,0,0,0
697704,1,2,0,0,0
697705,1,1,0,0,0
697706,1,1,0,0,0
697708,1,1,0,0,0
697709,1,0,0,1,0
697710,1,1,0,0,0
697711,1,1,0,0,0
697712,1,1,0,0,6
697713,1,1,0,1,0
697714,1,1,0,0,1
697715,1,0,0,0,0
697718,1,1,0,1,11
697719,1,1,0,0,9
697720,1,1,0,0,0
697721,1,1,0,0,2
697722,1,1,0,0,12
697723,1,1,0,0,0
697725,1,1,0,0,0
697726,1,1,0,0,0
697727,1,1,0,0,0
697728,1,1,0,0,1
697729,1,1,0,0,0
697732,1,1,0,1,0
697733,1,0,0,0,2
697734,1,1,0,0,0
697735,1,0,0,0,0
697736,1,1,0,0,0
