tid,gid,tname,pts,q1p,q2p,q3p,q4p,rfd,pfd,ifd,ry,ra,py,pa,pc,sk,ints,fum,pu,gpy,pr,pry,kr,kry,ir,iry,pen,top,td,tdr,tdp,tdt,fgm,fgat,fgy,rza,rzc,bry,bpy,srp,s1rp,s2rp,s3rp,spp,s1pp,s2pp,s3pp,lea,ley,lta,lty,lga,lgy,mda,mdy,rga,rgy,rta,rty,rea,rey,r1a,r1y,r2a,r2y,r3a,r3y,qba,qby,sla,sly,sma,smy,sra,sry,dla,dly,dma,dmy,dra,dry,wr1a,wr1y,wr3a,wr3y,tea,tey,rba,rby,sga,sgy,p1a,p1y,p2a,p2y,p3a,p3y,spc,mpc,lpc,q1ra,q1ry,q1pa,q1py,lcra,lcry,lcpa,lcpy,rzra,rzry,rzpa,rzpy,sky,lbs,dbs,sfpy,drv,npy,tb,i20,rtd,lnr,lnp,lbr,lbp,dbr,dbp,nha,s3a,s3c,l3a,l3c,stf,dp,fsp,ohp,pbep,dlp,dsp,dum,pfn,snpo,snpd
8533,4267,MIA,10,0,3,0,7,3,7,1,64,20,158,29,16,4,0,0,7,327,4,32,3,84,1,9,40,25.5,1,1,0,0,1,2,41,3,1,11,107,7,4,3,0,7,3,1,3,0,0,2,7,3,8,5,10,2,2,3,11,5,26,9,37,10,27,1,0,5,17,8,113,6,35,8,22,3,16,1,0,1,0,15,75,2,14,3,6,7,91,38,186,13,73,7,-14,13,101,6,6,4,4,13,6,55,5,7,13,99,3,0,5,10,28,0,0,385,12,267,1,4,0,8.5,3,12.5,6,10,19,2,1,0,10,2,6,0,1,1,0,0,0,1,2,53,82
8534,4267,SEA,12,3,3,0,6,4,16,1,112,32,240,43,27,3,1,1,6,253,3,40,0,0,0,0,69,34.5,1,0,1,0,2,2,77,2,1,23,46,16,8,6,2,23,11,7,5,3,13,4,13,2,4,15,42,1,-1,5,33,2,8,16,62,11,38,5,12,4,16,12,79,8,42,19,113,1,24,0,0,1,0,18,149,10,28,5,37,8,44,60,373,17,96,15,91,14,53,6,16,5,6,24,12,53,9,29,12,85,2,1,6,11,18,2,0,270,12,221,0,2,0,6.5,3,5.5,8.5,6,8.5,5,6,3,7,2,7,0,1,4,1,0,0,1,1,82,53
8535,4268,DET,39,7,14,7,11,7,20,1,117,25,332,39,31,1,0,0,4,235,1,1,1,22,0,0,70,30.5,5,2,3,0,1,1,43,4,4,56,81,14,10,3,1,25,9,12,4,4,5,1,7,1,6,11,54,0,0,1,4,5,41,18,83,4,28,1,6,1,6,12,113,8,108,14,87,1,0,0,0,2,32,20,161,1,8,6,51,10,120,50,464,14,104,18,195,8,33,8,17,6,6,42,8,59,4,22,11,119,4,9,6,46,8,0,0,256,11,222,0,2,0,9,6,6.5,4,3.5,18,25,1,1,5,2,4,2,1,3,0,1,1,1,0,65,70
8536,4268,IND,35,0,10,8,17,6,17,2,82,19,368,47,31,2,0,0,4,195,2,13,2,25,0,0,45,29.5,4,0,4,0,2,2,90,4,4,11,148,14,5,6,3,23,12,5,6,0,0,0,0,2,5,9,33,1,4,2,12,5,28,7,22,9,44,3,16,3,21,13,70,10,64,8,32,3,32,4,36,7,151,19,143,6,94,10,88,10,60,46,392,23,192,13,90,13,86,10,11,10,6,14,9,17,5,37,12,132,1,-2,9,62,17,1,0,228,10,176,1,1,0,6.5,0,6.5,12,8,17,4,5,4,8,2,2,0,1,3,2,0,0,1,0,70,65
8537,4269,NYG,20,0,13,0,7,6,11,1,113,24,203,28,19,2,1,0,5,257,1,17,2,46,0,0,40,23.5,3,0,3,0,0,0,0,3,3,50,88,12,6,5,1,15,7,4,4,1,1,4,14,3,19,13,66,3,13,0,0,0,0,15,56,7,41,2,16,0,0,13,55,6,28,6,36,1,45,2,43,0,0,16,150,0,0,5,31,7,26,38,333,10,111,12,70,8,21,6,8,5,2,5,4,10,11,59,9,60,2,11,7,34,4,0,0,219,9,181,3,1,0,17,0,5,8,7,16,30,1,1,3,0,4,0,1,2,1,0,1,1,0,56,78
8538,4269,DAL,19,3,6,7,3,10,13,1,101,30,227,43,25,0,0,0,3,147,2,16,1,21,1,0,50,36.5,1,1,0,0,4,4,204,3,1,24,21,15,5,8,2,20,8,4,8,3,15,5,5,4,20,5,13,4,17,4,12,5,19,12,39,16,56,2,6,2,12,12,89,9,47,12,70,5,21,0,0,5,0,9,42,14,81,15,87,5,17,48,242,17,98,11,36,15,93,5,15,5,11,29,10,82,3,6,15,66,4,12,6,24,0,0,1,255,9,130,0,1,0,8.5,2,9.5,6,6,9,1,4,4,11,4,7,0,1,4,0,1,1,0,0,78,56
8539,4270,NE,23,10,0,7,6,7,11,1,107,32,257,33,24,2,0,2,2,89,2,18,1,26,0,0,69,34,2,1,1,0,3,3,132,2,1,49,118,10,4,3,3,18,7,4,7,3,11,2,14,0,0,15,42,0,0,6,25,4,15,13,32,12,41,5,34,3,13,12,107,6,39,11,49,3,69,1,0,0,0,11,114,9,93,5,14,7,40,35,291,13,76,11,76,11,107,9,9,6,8,35,11,106,5,10,10,62,2,11,1,3,7,1,0,247,10,81,0,0,0,10.5,3.5,2,4.5,5.5,16,0,0,0,9,5,11,0,1,4,2,0,2,0,1,71,61
8540,4270,ARI,21,0,7,7,7,6,14,1,92,19,252,37,24,3,0,0,5,180,1,8,4,61,0,0,58,26,3,1,2,0,0,1,0,3,3,45,86,11,4,4,3,20,9,8,3,0,0,1,2,0,0,13,71,0,0,3,13,2,1,10,67,6,14,3,6,2,1,10,90,6,41,12,83,4,39,2,18,3,0,17,142,8,37,4,41,8,51,37,166,17,99,14,100,9,53,6,12,6,3,3,8,86,2,41,15,101,5,9,8,38,19,1,0,292,10,162,0,1,0,7,1.5,10.5,5,11.5,18.5,3,4,3,7,2,3,0,0,2,1,1,1,3,0,61,71
8541,4271,PIT,38,0,14,10,14,9,14,0,148,32,288,37,27,1,1,0,2,107,0,0,1,18,2,0,81,33.5,5,2,3,0,1,1,46,3,3,45,213,21,12,7,2,23,7,7,9,7,67,3,8,3,17,6,23,3,18,1,2,6,14,18,103,9,40,2,6,0,0,8,31,12,80,10,39,7,150,0,0,0,0,11,126,10,115,7,31,9,28,42,352,10,87,14,101,14,172,9,10,9,2,4,8,107,7,41,6,42,3,26,4,15,12,0,0,273,10,90,0,0,0,1,2,6.5,11,3.5,15,25,6,5,3,2,4,0,0,1,0,1,1,1,1,68,58
8542,4271,WAS,16,6,0,3,7,3,14,1,55,12,329,43,30,0,2,0,1,27,1,17,1,29,1,26,55,26.5,1,1,0,0,3,3,105,4,1,12,84,7,6,1,0,21,13,5,3,3,2,1,12,1,4,1,0,1,6,2,17,3,14,8,38,3,9,1,8,1,8,9,83,14,105,15,73,1,0,1,16,3,52,26,211,2,9,12,84,3,25,46,357,19,174,13,99,11,56,5,20,5,5,13,14,95,0,0,0,0,2,5,6,6,0,1,0,301,10,27,0,1,0,5,0,13,11.5,9,13.5,8,1,1,8,2,3,0,5,2,0,1,0,0,0,58,68
