uid,gid,fpid,tname,drvn,obt,qtr,min,sec,yfog,plays,succ,rfd,pfd,ofd,ry,ra,py,pa,pc,peyf,peya,net,res
100025,4274,699982,BAL,1,KOFF,1,2,47,47,6,2,0,1,0,0,2,11,4,2,0,0,11,PUNT
100026,4274,699989,CLE,2,PUNT,1,0,11,15,1,1,1,0,0,85,1,0,0,0,0,0,85,TD
100027,4274,699992,BAL,2,KOFF,1,0,48,25,2,1,0,0,0,4,1,0,1,0,0,0,4,INT
100028,4274,699994,CLE,3,INT,1,1,25,73,4,2,0,2,0,2,1,25,3,2,0,0,27,TD
100029,4274,700000,BAL,3,KOFF,1,4,44,25,12,4,1,2,0,19,5,29,7,3,0,0,48,DWNS
100030,4274,700012,CLE,4,DWNS,2,4,19,27,7,2,0,2,0,5,4,31,3,2,5,5,37,PUNT
100031,4274,700022,BAL,4,PUNT,2,3,17,3,8,4,1,1,0,7,1,26,7,4,0,0,33,PUNT
100032,4274,700031,CLE,5,PUNT,2,4,0,10,6,4,0,1,0,17,3,1,3,2,0,0,18,PUNT
100033,4274,700038,BAL,5,PUNT,2,1,59,25,6,4,0,2,0,7,2,59,4,3,9,0,75,TD
100034,4274,700046,CLE,6,KOFF,2,0,33,20,2,1,0,1,0,0,0,10,2,1,0,0,10,INT
100035,4274,700048,BAL,6,INT,2,0,42,39,7,2,0,2,0,0,0,27,6,3,0,0,27,FG
100036,4274,700056,BAL,7,KOFF,3,2,43,25,6,4,0,2,0,8,2,67,4,3,0,0,75,TD
100037,4274,700064,CLE,7,KOFF,3,3,7,11,6,1,0,1,0,0,2,7,4,1,0,0,7,PUNT
100038,4274,700071,BAL,8,PUNT,3,1,35,45,4,1,0,1,0,1,1,20,3,1,5,0,26,INT
100039,4274,700076,CLE,8,INT,3,1,35,20,5,1,1,0,0,15,1,0,4,0,0,0,15,PUNT
100040,4274,700082,BAL,9,PUNT,3,4,28,17,6,2,0,1,0,7,2,16,4,3,0,19,4,PUNT
100041,4274,700091,CLE,9,PUNT,3,2,38,32,7,1,0,1,0,2,4,47,2,1,0,15,34,MFG
100042,4274,700098,BAL,10,MFG,4,2,35,42,5,1,0,1,0,4,2,28,2,1,0,5,27,FG
100043,4274,700105,CLE,10,KOFF,4,3,18,25,5,2,0,1,0,1,2,9,3,1,0,5,5,PUNT
100044,4274,700112,BAL,11,PUNT,4,5,8,36,11,4,1,2,0,22,7,19,3,2,0,0,41,FG
100045,4274,700124,CLE,11,KOFF,4,2,40,25,8,4,0,3,0,0,0,45,8,7,0,0,45,INT
100046,4274,700133,BAL,12,INT,4,0,13,1,1,0,0,0,0,1,1,0,0,0,0,0,1,ENDQ
100047,4275,700135,PIT,1,KOFF,1,1,47,25,3,1,0,0,0,9,3,0,0,0,0,0,9,PUNT
100048,4275,700139,CIN,1,PUNT,1,2,59,20,6,1,0,1,0,9,4,10,2,1,0,0,19,PUNT
100049,4275,700146,PIT,2,PUNT,1,3,49,16,10,3,1,2,0,15,4,37,6,3,0,5,47,INT
100050,4275,700157,CIN,2,INT,1,0,56,23,3,0,0,0,0,3,1,0,2,0,0,0,3,PUNT
100051,4275,700161,PIT,3,PUNT,1,1,43,34,5,2,0,2,0,2,2,64,3,2,0,0,66,TD
100052,4275,700168,CIN,3,KOFF,1,3,23,25,8,5,0,3,0,9,2,59,5,4,0,0,68,FG
100053,4275,700177,PIT,4,KOFF,1,3,48,20,8,5,1,1,0,14,3,23,5,3,0,0,37,PUNT
100054,4275,700186,CIN,4,PUNT,2,1,23,10,3,0,0,0,0,0,1,2,2,1,0,0,2,PUNT
100055,4275,700190,PIT,5,PUNT,2,1,41,37,3,0,0,0,0,3,1,-9,2,0,0,0,-6,PUNT
100056,4275,700194,CIN,5,PUNT,2,1,11,9,3,1,0,0,0,1,1,8,2,1,0,0,9,PUNT
100057,4275,700198,PIT,6,PUNT,2,1,25,49,3,0,0,0,0,0,2,0,1,0,0,0,0,PUNT
100058,4275,700202,CIN,6,PUNT,2,0,50,3,3,0,0,0,0,1,1,0,2,0,0,0,1,PUNT
100059,4275,700206,PIT,7,PUNT,2,0,55,64,4,1,0,0,0,6,1,0,2,0,0,0,6,FG
100060,4275,700211,CIN,7,KOFF,2,2,16,25,6,2,0,1,0,2,1,28,5,3,0,0,30,PUNT
100061,4275,700218,PIT,8,PUNT,2,1,6,8,4,2,0,1,0,8,1,4,3,1,0,0,12,INT
100062,4275,700222,CIN,8,INT,2,0,48,32,8,4,0,3,0,0,0,53,7,4,0,0,53,FG
100063,4275,700231,CIN,9,KOFF,3,0,58,25,3,0,0,0,0,3,1,0,2,0,0,0,3,PUNT
100064,4275,700235,PIT,9,PUNT,3,2,19,33,5,2,1,0,0,14,3,3,2,1,0,0,17,PUNT
100065,4275,700241,CIN,10,PUNT,3,2,7,8,4,1,0,1,0,1,1,25,3,1,15,0,41,PUNT
100066,4275,700246,PIT,10,PUNT,3,3,20,9,7,6,1,3,0,14,2,77,5,4,0,0,91,TD
100067,4275,700255,CIN,11,KOFF,3,4,6,25,10,4,0,2,2,-2,1,60,8,4,29,15,72,FG
